clip_id,repeat_index,sea_state,vessel_class,n_blades,generator_freq,cavitation_intensity,shaft_rate,blade_pass_freq,has_cavitation,cavitation_peak_freq,n_cavitation_bursts,equipment_base_freq,resonance_freq_1,resonance_freq_2,resonance_freq_3,sea_rms_pa,ship_rms_pa,combined_rms_pa,scale_factor,sea_spl_db,ship_spl_db,combined_spl_db,snr_db,tensor_path,waveform_path
0,0,0,small_craft,3,0.0,0.0,22.7504,68.2511,False,0.0,0,25.0,141.18,292.67,355.81,0.0074337457444108,0.0148322727428832,0.0166938328509213,48.09414271264264,77.42,83.42,84.45,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000000.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000000.npy
1,1,0,small_craft,3,0.0,0.0,25.7221,77.1663,False,0.0,0,25.0,182.69,306.42,112.52,0.0074337457444108,0.0148322727428832,0.0166434113871917,48.24453155851064,77.42,83.42,84.42,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000001.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000001.npy
2,2,0,small_craft,3,0.0,0.0,24.5278,73.5834,False,0.0,0,25.0,98.0,155.85,400.05,0.0074337457444108,0.0148322727428832,0.0165878398959691,47.09650129120583,77.42,83.42,84.4,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000002.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000002.npy
3,3,0,small_craft,3,0.0,0.0,25.3224,75.9673,False,0.0,0,25.0,104.62,179.5,0.0,0.0074337457444108,0.0148322727428832,0.0166096718130262,47.74684529296473,77.42,83.42,84.41,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000003.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000003.npy
4,4,0,small_craft,3,0.0,0.0,27.591,82.7731,False,0.0,0,25.0,487.73,169.44,0.0,0.0074337457444108,0.0148322727428832,0.0166713927810186,48.26213388158435,77.42,83.42,84.44,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000004.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000004.npy
5,0,0,small_craft,3,0.0,0.3333,18.1692,54.5075,True,6152.03,309,25.0,206.76,144.95,111.63,0.0074337457444108,0.0148322727428832,0.016628064846043,47.78591374124362,77.42,83.42,84.42,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000005.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000005.npy
6,1,0,small_craft,3,0.0,0.3333,17.0937,51.2811,True,6341.87,291,25.0,140.46,206.56,114.5,0.0074337457444108,0.0148322727428832,0.0166124896209622,48.01827233951742,77.42,83.42,84.41,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000006.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000006.npy
7,2,0,small_craft,3,0.0,0.3333,27.3495,82.0486,True,5970.51,502,25.0,148.5,58.22,242.13,0.0074337457444108,0.0148322727428832,0.0165440990530428,47.66424393549276,77.42,83.42,84.37,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000007.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000007.npy
8,3,0,small_craft,3,0.0,0.3333,23.6459,70.9377,True,5910.59,408,25.0,349.02,98.49,0.0,0.0074337457444108,0.0148322727428832,0.0165254903092016,47.771021862296585,77.42,83.42,84.36,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000008.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000008.npy
9,4,0,small_craft,3,0.0,0.3333,22.8351,68.5053,True,6000.7,415,25.0,252.71,116.78,0.0,0.0074337457444108,0.0148322727428832,0.0166482073049262,47.80143243526808,77.42,83.42,84.43,6.0,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/tensors/tensor_000009.npy,/content/drive/MyDrive/SKANN_SSL/data/prototype_dataset/waveforms/clip_000009.npy
