epoch,loss,lr,sil_h,sil_z,knn_acc,sil_h_cargo_ship,sil_h_fishing_vessel,sil_h_no_vessel,sil_h_small_craft,sil_h_tanker
1,138.329617,9.99e-05,,,,,,,,
2,131.218994,9.96e-05,,,,,,,,
3,128.389986,9.91e-05,,,,,,,,
4,128.416197,9.85e-05,,,,,,,,
5,128.527948,9.76e-05,0.9347,0.5709,0.9990,0.8142,0.9886,0.9999,0.8789,0.9920
6,121.533749,9.66e-05,,,,,,,,
7,120.444403,9.54e-05,,,,,,,,
8,120.885614,9.41e-05,,,,,,,,
9,120.499907,9.25e-05,,,,,,,,
10,121.199804,9.08e-05,0.9408,0.8505,1.0000,0.7461,0.9789,1.0000,0.9839,0.9952
11,119.259628,8.90e-05,,,,,,,,
12,116.951885,8.70e-05,,,,,,,,
13,117.770478,8.48e-05,,,,,,,,
14,121.152866,8.25e-05,,,,,,,,
15,117.711792,8.01e-05,0.9632,0.8101,1.0000,0.8499,0.9673,1.0000,0.9988,0.9999
16,116.576153,7.76e-05,,,,,,,,
17,118.887523,7.50e-05,,,,,,,,
18,116.529920,7.23e-05,,,,,,,,
19,115.795574,6.95e-05,,,,,,,,
20,116.345959,6.66e-05,0.9236,0.6032,1.0000,0.7651,0.9341,1.0000,0.9192,0.9999
21,115.325805,6.37e-05,,,,,,,,
22,115.623937,6.07e-05,,,,,,,,
23,115.725698,5.77e-05,,,,,,,,
24,117.133117,5.46e-05,,,,,,,,
25,117.008552,5.15e-05,0.9693,0.8840,1.0000,0.8955,0.9554,1.0000,0.9961,0.9996
