epoch,loss
1,67.1541
2,64.1312
3,60.6716
4,61.4774
5,56.2803
6,59.3058
7,53.9230
8,54.5975
9,57.0067
10,54.4240
11,57.1814
12,55.5494
13,56.0370
14,56.1258
15,53.0723
16,53.1648
17,56.6912
18,53.1711
19,55.0226
20,52.7338
21,52.6740
22,50.5410
23,50.9228
24,50.7424
25,50.1630
26,49.1057
27,46.6136
28,54.3742
29,52.4689
30,54.4041
31,49.8795
32,46.5110
33,48.1123
34,50.9298
35,46.7388
36,44.9125
37,44.5822
38,45.1795
39,45.4131
40,44.9523
41,44.4845
42,47.6914
43,44.3028
44,43.2030
45,44.5424
46,44.5035
47,45.4533
48,43.2091
49,44.0944
50,44.1334
